######################## ######################## ######################## ######################## ######################## ######################## ########################
# Radius (arcsec)	 Intensity B7 (Jy/sr)     Intensity B6 (Jy/sr)     Intensity B3 (Jy/sr)     Error Int B7 (Jy/sr)     Error Int B6 (Jy/sr)     Error Int B3 (Jy/sr)
######################## ######################## ######################## ######################## ######################## ######################## ########################
1.307058077030276988e-01 1.843917635998061180e+09 1.455141322877014875e+08 5.314339770679834485e+07 2.754126615025520325e+07 1.179668724737846851e+07 8.160013947882894427e+06
1.350991565546568740e-01 1.898103881890290022e+09 1.550267448451900184e+08 5.763369531962317228e+07 2.699535863328647614e+07 1.172706146093496680e+07 8.465871261250887066e+06
1.394925092361702368e-01 1.965254608406556368e+09 1.664371592314341068e+08 6.232650579746027291e+07 2.649557558054089546e+07 1.170566150405487418e+07 8.737340528665659949e+06
1.438858653968284329e-01 2.044756574404463053e+09 1.801166965598406792e+08 6.707466133499863744e+07 2.608365958037686348e+07 1.173577802462649345e+07 8.950677468949984759e+06
1.482792247274485053e-01 2.136286560079821825e+09 1.969753571846238971e+08 7.172423845044828951e+07 2.578905708864760399e+07 1.182648090105754137e+07 9.086727917839676142e+06
1.526725869544266201e-01 2.242934533018712521e+09 2.166029327777788639e+08 7.612886137234245241e+07 2.561820448274946213e+07 1.197985960853546858e+07 9.134245622798796743e+06
1.570659518347638228e-01 2.364392091264677525e+09 2.391076611257618368e+08 8.016498416110964119e+07 2.558602322061014175e+07 1.219536140737879276e+07 9.092372983188493177e+06
1.614593191519030912e-01 2.499463518922331333e+09 2.654441844458552599e+08 8.374536150750564039e+07 2.568804427847051620e+07 1.247885676647329330e+07 8.971520160426732153e+06
1.658526887122283022e-01 2.647381626747138500e+09 2.963581666319786906e+08 8.682823921257886291e+07 2.590741738234138489e+07 1.283288881092482805e+07 8.792207833267638460e+06
1.702460603421049601e-01 2.814896135300065994e+09 3.319463265830480456e+08 8.942077241966964304e+07 2.623544527415800095e+07 1.324875447790336609e+07 8.581926640114206821e+06
1.746394338853674288e-01 2.997612027501434803e+09 3.721260022554542422e+08 9.157649444433012605e+07 2.663770762549638748e+07 1.371150640872830153e+07 8.370583773635468446e+06
1.790328092011759520e-01 3.191751754557331085e+09 4.180952136475002170e+08 9.338788594625496864e+07 2.707401809820318222e+07 1.421786685643362999e+07 8.185532849956279621e+06
